el	article	masculine singular definite article; the		
finalmente	adv	finally, in the end	Finalmente terminamos el proyecto juntos.	We finally finished the project together.
mentir	verb	to lie (say something untrue)	No debes mentir a tus padres.	You shouldn't lie to your parents.
veinte	num	twenty	En la clase hay veinte estudiantes.	There are twenty students in the class.
molestar	verb	to bother, to disturb, to trouble, to impose, to inconvenience, to burden	No quiero molestar a nadie más.	I don't want to bother anyone else.
tampoco	adv	neither; nor; also not	Yo tampoco quiero ir hoy temprano.	I don't want to go early today either.
cual	adv	like, as, in the manner of	Lloraba cual un niño muy pequeño.	He was crying like a very small child.
cual	pron	suchlike, like (which), such as	No entiendo nada, lo cual me preocupa.	I don't understand anything, which worries me.
alma	noun	soul	Siento mi alma tranquila hoy.	I feel my soul at peace today.
oro	noun	gold.	El precio del oro subió hoy.	The price of gold went up today.
confiscar	xxx	xxx	xxx	xxx
arma	noun	weapon, arm	El policía confiscó rápidamente el arma peligrosa.	The police officer quickly confiscated the dangerous weapon.
oro	adj	or	Sus armas muestran estrellas oro.	Their weapons display gold stars.
producir	verb	to produce	Si trabajamos juntos, produciremos mejores ideas.	If we work together, we will produce better ideas.
continuar	verb	to continue, to carry on	Debemos continuar con el proyecto mañana.	We must continue with the project tomorrow.
obtener	verb	to obtain	Si trabajas duro, obtendrás mejores oportunidades.	If you work hard, you will get better opportunities.
analizar	verb	to analyze (to subject to analysis)	¿Puedes analizar este problema conmigo?	Can you analyze this problem with me?
uso	noun	use	Analizamos los usos comunes de esta palabra.	We analyzed the common uses of this word.
ruso	adj	Russian	El equipo ruso ganó el campeonato.	The Russian team won the championship.
ruso	noun	Russian (person) (male or of unspecified sex)	El ruso joven aprendió español en un año.	The young Russian learned Spanish in a year.
pues	conj	so, then; in that case	Mañana viajamos juntos, pues termina temprano.	Tomorrow we travel together, since it ends early.
exactamente	adv	exactly	Quiero saber exactamente qué necesitas.	I want to know exactly what you need.
vacío	adj	empty, vacant	Las camas siguen vacías esta mañana.	The beds are still empty this morning.
enfrentar	verb	to confront, to face, to stand up to, (a person or force aggressively)	Aprendimos a enfrentar los cambios juntos.	We learned to face the changes together.
vacío	noun	vacuum, void	El arte a veces enfrenta el vacío de sentido.	Art sometimes confronts the void of meaning.
salvar	verb	to save	Ojalá podamos salvar el bosque.	I hope we can save the forest.
suyo	pron	his, hers, its	Traje mis libros, y él trajo los suyos también.	I brought my books, and he brought his as well.
suyo	det	his, hers, its, to her	Encontré un libro suyo en la mesa.	I found one of his books on the table.
manejar	verb	to handle	¿Puedes manejar esta situación difícil?	Can you handle this difficult situation?
quejar	verb	only used in se ... quejar, syntactic variant of quejarse	No se debería quejar tanto.	One shouldn't complain so much.
esfuerzo	noun	effort, endeavor	Sus esfuerzos dieron resultados después de meses.	Their efforts produced results after months.
perfecto	adj	perfect	Buscamos el regalo perfecto para su cumpleaños.	We're looking for the perfect gift for their birthday.
pegar	verb	to stick	Mañana pegaré el mosaico con cuidado.	Tomorrow I will glue the mosaic carefully.
novio	noun	boyfriend (romantic partner)	Mi novio y yo viajamos mañana.	My boyfriend and I are traveling tomorrow.
totalmente	adv	totally	Estoy totalmente de acuerdo contigo.	I totally agree with you.
perdonar	verb	to pardon, excuse, forgive	Ojalá él nos perdone pronto.	I hope he forgives us soon.
soñar	verb	to dream	Anoche soñé que visitaba tu ciudad.	Last night I dreamed that I was visiting your city.
helado	adj	icy, frozen	El viento helado me cortaba la cara.	The icy wind was cutting my face.
helado	noun	ice cream	Quiero compartir mi helado contigo.	I want to share my ice cream with you.
paciente	adj	patient	Mi abuela, siempre paciente, nos escucha.	My grandmother, always patient, listens to us.
paciente	noun	patient	El paciente espera su turno tranquilamente.	The patient calmly waits for his turn.
engañar	verb	to trick, to deceive, to hoodwink, to cheat	No intentes engañar a tus amigos.	Don't try to trick your friends.
lista	noun	list, roll	Necesito revisar la lista antes de salir.	I need to check the list before leaving.
planeta	noun	planet	Marte es un planeta rojo y frío.	Mars is a red and cold planet.
pelar	verb	to peel (fruits, vegetables)	Mi abuelo pela naranjas todos los días.	My grandfather peels oranges every day.
pulverizar	xxx	xxx	xxx	xxx
guapo	noun	arrowroot	Los guapos se pelan, se secan y se pulverizan.	The handsome ones are peeled, dried, and pulverized.
guapo	adj	good-looking; handsome, pretty (describes a man or a woman)	Esos chicos guapos cantan muy bien.	Those handsome boys sing very well.
pásame	xxx	xxx	xxx	xxx
cuchillo	noun	knife	Pásame el cuchillo, por favor.	Pass me the knife, please.
ciencia	noun	science	En la ciencia, observamos, medimos y comparamos.	In science, we observe, measure, and compare.
ante	prep	in front of, before	Se detuvo ante el semáforo en rojo.	They stopped before the red traffic light.
ante	noun	elk	Un ante puede pesar mucho.	A suede hide can weigh a lot.
prisa	noun	hurry, rush, urgency	¿Tienes mucha prisa esta tarde?	Are you in a hurry this afternoon?
matemático	adj	mathematical (relating to mathematics)	El problema matemático fue resuelto hoy.	The math problem was solved today.
matemático	noun	mathematician	Muchos matemáticos enseñan en universidades públicas.	Many mathematicians teach at public universities.
dormido	adj	asleep, sleeping	Ella estaba dormida cuando llegaste.	She was asleep when you arrived.
ejemplo	noun	example	Necesitamos más ejemplos en la clase.	We need more examples in class.
pertenecer	verb	to belong; to pertain	¿Crees que pertenezco a este lugar?	Do you think I belong here?
ladrón	adj	thievish	Noten su aire ladrón al entrar.	Notice their thievish air upon entering.
ladrón	noun	thief; robber; rogue; crook	Un ladrón intentó abrir el coche de noche.	A thief tried to open the car at night.
azúcar	noun	sugar	Me gusta el café con azúcar.	I like coffee with sugar.
enamorar	verb	to enamor	Ellos enamoraron a muchos en la universidad.	They charmed many people at the university.
capital	adj	capital (important)	Cometimos errores capitales durante la prueba.	We made serious mistakes during the test.
capital	noun	capital	La capital del estado creció rápidamente.	The state capital grew rapidly.
valor	noun	value (all senses)	El valor del libro bajó este año.	The value of the book decreased this year.
cubrir	verb	to cover	¿Puedes cubrir mi turno mañana?	Can you cover my shift tomorrow?
daño	noun	damage	El seguro cubrirá los daños del accidente.	The insurance will cover the damage from the accident.
página	noun	page	Por favor, abre el libro en la página tres.	Please, open the book to page three.
actuar	verb	to act, to behave	Debemos actuar rápido para ayudar.	We must act quickly to help.
delante	adv	in front of, before (spatially)	El coche está delante de la casa.	The car is in front of the house.
cerrado	adj	shut, closed	El banco estaba cerrado el domingo.	The bank was closed on Sunday.
máquina	noun	machine	La máquina de escribir suena muy fuerte.	The typewriter sounds very loud.
silencio	noun	silence	Hubo un largo silencio antes de su respuesta.	There was a long silence before their response.
escapar	verb	to escape, get out	A veces quiero escapar de la rutina diaria.	Sometimes I want to escape the daily routine.
guitarra	noun	guitar	Compré una guitarra nueva ayer.	I bought a new guitar yesterday.
aeropuerto	noun	airport	El aeropuerto estaba muy lleno hoy.	The airport was very crowded today.
botella	noun	bottle	Puse la botella de agua en la mesa.	I put the water bottle on the table.
paseo	noun	walk, stroll	Damos un paseo por el parque.	We go for a walk in the park.
atrás	adv	behind	No mires atrás cuando camines.	Don't look back when you walk.
atrás	intj	get back, back off, back away	¡Atrás, no te acerques al fuego!	Back, don't go near the fire!
guardar	verb	to save (to store for future use)	Ayer guardamos la ropa de invierno en cajas.	Yesterday we put away the winter clothes in boxes.
mitad	noun	half	Pagamos a mitad de precio.	We pay half price.
huir	verb	to flee, to run away	Muchos animales huyen del fuego.	Many animals flee from the fire.
soportar	verb	to bear, to endure, to withstand, put up with, tolerate, to stomach, to weather, to handle	No puedo soportar ese ruido.	I can't stand that noise.
despedir	verb	to dismiss	Ojalá no te vuelvan a despedir nunca.	I hope they never fire you again.
orden	noun	order	Necesitamos orden para trabajar mejor.	We need order to work better.
útil	adj	helpful; useful	Este diccionario es muy útil para estudiantes de español.	This dictionary is very useful for students of Spanish.
contento	adj	content	Seguimos contentos con el acuerdo.	We are still happy with the agreement.
contento	noun	contentment; gladness	Perdió el contento tras la noticia.	They lost their good mood after the news.
deporte	noun	sport	El deporte ayuda a mantener la salud.	Sports help maintain health.
traducción	noun	translation	¿Puedes revisar mi traducción al inglés?	Can you review my translation into English?
convencer	verb	to convince	Ojalá él me convenza pronto.	I hope he convinces me soon.
debajo	prep	below, under	El gato duerme debajo de la mesa.	The cat sleeps under the table.
lago	noun	lake	Los niños nadaron en el lago frío.	The children swam in the cold lake.
objetivo	adj	objective	El periodista intentó ser objetivo siempre.	The journalist always tried to be objective.
objetivo	noun	objective	Nuestro objetivo es aprender cada día.	Our objective is to learn every day.
acostar	verb	to lay	Ojalá lo acueste temprano esta semana.	I hope to put him to bed early this week.
espalda	noun	back	Me duele la espalda cada mañana.	My back hurts every morning.
tormenta	noun	storm, thunderstorm, lightning storm	Cancelaron las clases por la tormenta.	They canceled classes because of the storm.
causar	verb	to cause, to make	La tormenta causará retrasos en la carretera.	The storm will cause delays on the road.
suficientemente	adv	sufficiently	El café está lo suficientemente caliente para beber.	The coffee is hot enough to drink.
papá	noun	dad	Mi papá cocina la cena hoy.	My dad is cooking dinner today.
enorme	adj	enormous, huge	Este problema es enorme para nosotros.	This problem is enormous for us.
barato	adj	cheap; inexpensive; sold at a low price	Compramos frutas baratas en el mercado local.	We buy cheap fruit at the local market.
radio	noun	radio (device)	En su habitación hay dos radios pequeñas.	There are two small radios in their room.
influir	verb	to influence	Tus palabras influyen mucho en mi decisión.	Your words greatly influence my decision.
política	noun	politics (activities associated with running a government or organisation)	La política influye en nuestra vida diaria.	Politics influences our daily life.
